Tentative Time Table for Semester I (2026-28),,,,,,,,,,,,,,,,,,,,
1,9:10,10:00,HAW-1,OM-28,MM-31,DT-28,,,,,,,,,,,,,,
2,10:10,11:00,HAW-1,FRA-42,MM-32,MC-I-27,MM-33,,,,ME-36,OM-30,,,,,,,,
3,11:10,12:00,OM-28,HAW-1,MC-I-27,FRA-43,MM-34,,MC-I-28,,ILR-27,ME-36,,,,,,,,
4,12:10,1:00,FRA-42,HAW-1,DT-28,FRA-44,FRA-45,FRA-45,,MC-I-28,OM-30,ILR-27,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,DT-27,SM-27,FRA-43,MM-31,SM-27,MM-33,,,ILR-28,,,,,,,,,
6,3:10,4:00,,SM-28,FRA-44,MM-32,SM-28,MM-34,,,,ILR-28,,,,,,,,
7,4:10,5:00,,DT-27,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week18,,26-Oct,,27-Oct,,28-Oct,,29-Oct,,30-Oct,,31-Oct,,1-Nov,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,OM-31,DT-29,,,,,,,,,,,,,,,
2,10:10,11:00,HAW-1,OM-32,DT-30,MC-I-29,,,,,ILR-29,,,,,,,,,
3,11:10,12:00,OM-31,HAW-1,MC-I-29,DT-29,OM-33,,,,ILR-29,,,,,,,,,
4,12:10,1:00,OM-32,HAW-1,,DT-30,OM-34,,MC-I-30,,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,SM-29,,,SM-29,OM-33,,MC-I-30,,ILR-30,,,,,,,,
6,3:10,4:00,,SM-30,,,SM-30,OM-34,,,,ILR-30,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
 End Term Exam 23-Nov-2026 to 4-Dec-2026,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sem-II Commencement  7-Dec-2026,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,___________________________________________,,,,,,,,
,,,,,,,,,,,,"Dean I/c, FMS",,,,,,,,
,,,,,,,,,,,,Adani University,,,,,,,,
